Canada District,HPI,Year,State
Calgary,186.17,2020,Alberta
Edmonton,181.34,2020,Alberta
Lakelands,226.11,2020,Alberta
Vancouver_Island,254.48,2020,British Columbia
Victoria,229.96,2020,British Columbia
Lower_Mainland,269.84,2020,British Columbia
Greater_Vancouver,269.27,2020,British Columbia
Fraser_Valley,270.81,2020,British Columbia
Okanagan_Valley,215.54,2020,British Columbia
Winnipeg,233.06,2020,Manitoba
Greater_Moncton,172.18,2020,New Brunswick
Newfoundland_and_Labrador,213.22,2020,Newfoundland and Labrador
St_Johns_NL,186.59,2020,Newfoundland and Labrador
Bancroft_and_Area,236.96,2020,Ontario
Barrie_and_District,247.83,2020,Ontario
Brantford_Region,256.09,2020,Ontario
Cambridge,267.72,2020,Ontario
Grey_Bruce_Owen_Sound,221.46,2020,Ontario
Guelph_and_District,241.76,2020,Ontario
Hamilton_Burlington,296.79,2020,Ontario
Huron_Perth,219.29,2020,Ontario
Kawartha_Lakes,227.77,2020,Ontario
Kitchener_Waterloo,286.22,2020,Ontario
London_St_Thomas,269.4,2020,Ontario
Mississauga,281.8,2020,Ontario
Niagara_Region,267.31,2020,Ontario
North_Bay,179.09,2020,Ontario
Northumberland_Hills,237.29,2020,Ontario
Oakville_Milton,290.46,2020,Ontario
Ottawa,215.94,2020,Ontario
Peterborough_and_Kawarthas,239.57,2020,Ontario
Quinte_and_District,242.56,2020,Ontario
Simcoe_and_District,266.63,2020,Ontario
Southern_Georgian_Bay,240.94,2020,Ontario
Tillsonburg_District,261.79,2020,Ontario
Greater_Toronto,285.88,2020,Ontario
Woodstock_Ingersoll,267.19,2020,Ontario
Montreal_CMA,203.61,2020,Quebec
Quebec_CMA,192.38,2020,Quebec
Regina,241.98,2020,Saskatchewan
Saskatoon,216.29,2020,Saskatchewan